macro_id,macro,meso,micro,code,total_citations,cn_cits,us_cits,eu27_cits,row_cits,cn_share,us_share,eu27_share,row_share
0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,000,586361.9999999998,257160.21509790389,115655.01094141374,73522.83689261624,140023.93706806592,0.4385690326076792,0.19724165437291943,0.125388133768246,0.23880117925115538
0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,001,141908.99999999997,43574.456841390536,16032.033004949424,17955.90423010898,64346.60592355103,0.30705914946473123,0.11297403973637632,0.12653111663184846,0.453435694167044
0,Computer Science,Computer Vision & Image Processing,Multimodal Vision & Transformer,002,434372.99999999994,197834.38397020116,93208.16638958023,36735.30146540817,106595.1481748104,0.4554481608437937,0.2145809393990424,0.08457086758479043,0.24540003217237355
0,Computer Science,Computer Vision & Image Processing,Object Detection & Classification,003,430086.0000000002,211050.34018216457,42194.72975609474,53325.43353841292,123515.49652332795,0.49071660128942696,0.09810765697115163,0.12398783856813032,0.2871879031712911
0,Computer Science,Computer Vision & Image Processing,Mapping & Geospatial Analysis,004,342234.0000000004,139069.9133099953,49027.35866402157,65132.70532043835,89004.02270554518,0.4063591382212028,0.14325683206233605,0.1903162903757028,0.26006773934075833
0,Computer Science,Natural Language Processing,Text to Text Transformer,010,246892.0000000001,48444.92389544358,79161.530084207,43260.25805114546,76025.28796920404,0.19621909132512824,0.3206322200970747,0.17521935927914004,0.30792932929865696
0,Computer Science,Natural Language Processing,Knowledge Graphs & Reasoning,011,224605.00000000012,60582.09766074264,63308.85886270398,41378.45514544503,59335.588331108476,0.26972728862110196,0.28186754018256027,0.18422766699514706,0.26417750420119074
0,Computer Science,Speech Recognition & Audio Processing,Music & Acoustic Modeling,020,35270.0,7436.358889672422,7491.451995799973,8093.857709185155,12248.331405342451,0.21084090982910186,0.21240294856251696,0.22948278166104777,0.34727335994733344
0,Computer Science,Speech Recognition & Audio Processing,Emotion & Cognition in Audio,021,106110.00000000003,29734.199936182806,12761.976021105076,15735.662389780564,47878.16165293158,0.2802205252679559,0.12027119047314176,0.14829575336707718,0.45121253089182517
0,Computer Science,Speech Recognition & Audio Processing,Speech Recognition,022,140866.0000000001,25008.760068412856,37536.113428555036,28658.204763035057,49662.92173999714,0.17753581466367213,0.2664668083750161,0.20344302218445218,0.35255435477685965
0,Computer Science,Biomarkers for Health & Performance,Signal Processing & Sensing,030,201395.00000000003,51180.52490805854,26429.63253890241,35839.60324229598,87945.2393107431,0.25413006732073057,0.13123281381813057,0.17795676775637914,0.4366803511047597
0,Computer Science,Biomarkers for Health & Performance,Human - Computer Interaction,031,363393.99999999994,85469.88765674281,46904.205515571346,74751.36196431959,156268.5448633662,0.23519895115698888,0.12907259205042282,0.20570334668244275,0.43002511011014555
0,Computer Science,Machine Learning Foundations,Supervised Learning,040,277724.0000000002,105807.19944872281,60704.04582881594,32099.9796079115,79112.77511454994,0.38097967568061364,0.21857688146798945,0.11558230332240454,0.2848611395289924
0,Computer Science,Machine Learning Foundations,Neural Network Architectures,041,218339.99999999997,51996.4579208424,65233.82665147948,32394.04184435783,68715.67358332025,0.23814444408190164,0.2987717626247114,0.14836512706951469,0.31471866622387223
0,Computer Science,Machine Learning Foundations,SVM & Decision Tree,042,218948.99999999997,42207.92987338099,17606.886328968816,31061.879009055738,128072.30478859443,0.1927751662413667,0.08041546811800382,0.14186810174540984,0.5849412638952196
0,Computer Science,Machine Learning Foundations,Probabilistic Modeling,043,225009.9999999998,35709.716665117456,71911.87582798472,52330.95617836336,65057.451328534255,0.1587027983872605,0.31959413282958443,0.2325716909397956,0.28913137784335946
0,Computer Science,Machine Learning Foundations,Unsupervised Learning,044,144624.0,20209.308206036698,37693.09712053575,38351.37436655945,48370.2203068681,0.1397368915673519,0.26062822989639167,0.26517987586126407,0.3344550026749924
0,Computer Science,Machine Learning Foundations,Graph Learning & Network Modeling,045,116183.00000000001,52629.86289352232,27339.4930005435,9723.087268212474,26490.556837721728,0.4529910821163364,0.23531405627797095,0.08368769327881422,0.2280071683268785
1,Health Science,Medical Imaging & Radiology,Musculoskeletal Imaging,100,198995.00000000006,33319.31372078352,35535.0788248247,52291.196273177746,77849.41118121409,0.16743794427389386,0.17857272205243693,0.2627764329414193,0.3912129007322499
1,Health Science,Medical Imaging & Radiology,Neuroimaging & Imaging Physics,101,184623.00000000015,34624.51481091919,45903.39685141045,48489.570713730805,55605.5176239397,0.187541719129898,0.24863314349463725,0.2626410074244854,0.3011841299509793
1,Health Science,Medical Imaging & Radiology,Cancer Detection & Screening,102,261659.0000000001,64111.812131174804,39385.99047173559,44553.94042451551,113607.25697257419,0.2450204737126366,0.15052411906999405,0.17027482496117272,0.43418058225619666
1,Health Science,Medical Imaging & Radiology,Disease Diagnostics,103,411678.00000000006,97196.30503242098,63827.16913865908,54306.3018030567,196348.2240258633,0.23609788483334296,0.15504148664407394,0.13191451037717997,0.47694611814540316
1,Health Science,Neuroscience & Mental Health,Neuroscience,110,501729.9999999999,67084.66746869084,137487.0826685574,139364.5119809701,157793.73788178153,0.13370670972174448,0.27402603525513214,0.27776794686578465,0.31449930815733873
1,Health Science,Neuroscience & Mental Health,Mental Health & Behaviorism,111,387155.9999999998,39458.93935407352,88084.87319093107,117553.18424403915,142059.00321095609,0.10191999957142221,0.227517778856407,0.3036326035087644,0.36692961806340635
1,Health Science,Clinical Informatics & Public Health,Cardiovascular Risk Modeling,120,167296.0000000001,30421.29709888765,39862.68390907972,47408.589702437304,49603.42928959541,0.18184115040937998,0.2382763718742809,0.2833814897094807,0.2965009880068584
1,Health Science,Clinical Informatics & Public Health,Treatment Response & Risk Prediction,121,346116.9999999999,56506.491815146735,88691.97712987779,92092.89128290006,108825.63977207529,0.16325835429969274,0.25624854349794385,0.26607445252010187,0.3144186496822616
1,Health Science,Clinical Informatics & Public Health,Epidemiological Forecasting & Policy,122,173747.0000000001,24386.363667286736,45309.3809832947,30874.235277504955,73177.02007191369,0.14035559559178992,0.2607779183715096,0.17769650858722705,0.4211699774494734
1,Health Science,Clinical Informatics & Public Health,Human-Centered Medical AI Systems,123,472361.9999999998,25199.82878594645,123765.1806331858,105590.25657758427,217806.73400328332,0.053348552139982595,0.2620134147818534,0.22353672941003785,0.46110130366812613
1,Health Science,Clinical Informatics & Public Health,Clinical Decision Support,124,178424.99999999997,27659.064327111042,19860.76967275156,22151.38121387624,108753.78478626112,0.15501787488923102,0.11131158566765624,0.12414953741839005,0.6095210020247227
1,Health Science,Molecular Biology & Drug Discovery,Molecular Biology,130,265507.0000000002,35143.875769419625,73320.13464728589,56938.90432019071,100104.08526310395,0.1323651571123157,0.27615141840812424,0.2144534958407525,0.3770299286388076
1,Health Science,Molecular Biology & Drug Discovery,Drug Discovery,131,304056.00000000006,64567.60834426804,78712.27639921223,66061.2472462591,94714.86801026069,0.21235433059787678,0.2588742744731636,0.2172667115474093,0.31150468338155035
1,Health Science,Microbial and Immune Systems Biology,Infectious Disease & Immunology,140,272256.0,65788.06118132455,61295.244839885985,55883.13043682875,89289.56354196073,0.24164044568833945,0.2251382700101595,0.20525950001773607,0.327961784283765
1,Health Science,Microbial and Immune Systems Biology,Microbial Ecosystems,141,148094.0,40320.656415417805,35076.1385332256,37579.35872453471,35117.84632682189,0.2722639432753373,0.23685050395846965,0.25375341826498515,0.23713213450120796
1,Health Science,Genetics & Genomics,Cancer Genomics,150,409147.0,141539.6868372953,86209.98748179789,95807.77178403153,85589.5538968753,0.34593846914995174,0.21070663473469897,0.23416466889414203,0.20919022722120728
1,Health Science,Genetics & Genomics,Gene Regulation,151,264434.0,45753.47981268875,95465.6710618659,59329.988253377385,63884.86087206798,0.17302419436490296,0.36101889719879404,0.22436595994984526,0.2415909484864578
