code,macro_id,macro,meso,micro,country,fractional_citations
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,LT,183.00855168223592
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,CL,159.75508664507961
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,SI,157.31709850606907
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,CY,147.1107142857143
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,JM,105.8
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,SK,103.2702380952381
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,IS,100.01994949494947
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,NP,90.66031746031747
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,LK,89.4799787931367
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,AR,89.40269338504633
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,KZ,86.20158730158731
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,TZ,81.60238095238094
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,PH,78.06666666666668
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,ET,76.90346320346319
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,GH,76.28452380952382
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,PS,74.28571428571428
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,LB,70.70992063492065
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,EE,69.64684126104444
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,LU,64.59643874643874
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,BG,58.79166666666666
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,UZ,53.06442446442448
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,EC,52.52099567099567
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,PE,45.96666666666666
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,MT,40.320208451235615
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,KW,37.53214285714286
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,YE,32.24166666666667
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,LV,30.24069264069264
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,BY,28.747619047619043
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,CM,28.047619047619047
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,BA,27.5
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,RW,25.642857142857142
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,TJ,22.02820512820513
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,BW,21.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,SY,19.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,AM,18.53333333333333
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,KE,17.964285714285715
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,KH,17.193722943722943
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,MK,15.809523809523808
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,UY,14.666666666666666
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,BI,14.178571428571427
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,AZ,13.358974358974358
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,CR,13.236842105263158
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,PR,10.047619047619047
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,LY,10.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,BH,9.850000000000001
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,LI,9.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,AL,8.833333333333332
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,MN,7.5
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,SS,7.108008658008658
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,OM,6.883333333333333
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,MD,6.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,AF,5.323917748917749
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,SD,5.285714285714286
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,DO,5.155555555555555
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,UG,4.875
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,GT,4.666666666666666
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,GE,4.512820512820513
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,MM,4.333333333333333
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,VG,2.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,MR,2.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,CU,1.7384615384615385
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,ME,1.6428571428571426
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,CI,1.5694444444444444
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,MF,1.5555555555555554
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,VI,1.4529914529914532
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,VE,1.1142857142857143
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,KG,1.1
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,PY,1.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,TT,1.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,MU,1.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,KP,1.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,HN,1.0
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,BN,0.8181818181818182
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,XK,0.6666666666666666
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,GM,0.6
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,MG,0.36363636363636365
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,LR,0.36363636363636365
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,ML,0.2857142857142857
000,0,Computer Science,Computer Vision & Image Processing,Image Generation & Segmentation,DM,0.2222222222222222
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CN,39835.521791505445
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,IN,17921.887493062495
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,US,16032.033004949424
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,GB,4902.660577314546
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,KR,4476.501471077941
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,DE,3785.2028893939496
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,IT,3145.9417217255577
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,SA,2847.399339549339
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,ID,2746.052708402709
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,FR,2617.3222257398893
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,EG,2274.2583333333328
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,TW,2192.116325341324
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,ES,2172.410462004219
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,PK,2083.430383505383
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,IQ,1976.9916666666668
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,JP,1975.373656898657
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,MY,1917.1374764124757
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,AU,1717.731856739752
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,TR,1563.0609986504724
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,CA,1551.9505883005888
001,0,Computer Science,Computer Vision & Image Processing,Face & Fingerprint Recognition,BD,1358.904978354978
