code,cluster,total_citations,corpus_share,cn_cits,us_cits,eu27_cits,row_cits,cn_share,us_share,eu27_share,row_share
0,Computer Science,4454326.0,0.22476622415585745,1465106.5374245336,870200.2919612327,690350.902986652,1428668.2676275822,0.32891767181489046,0.1953607104556857,0.15498436867590112,0.32073724905352285
1,Health Science,5332638.0,0.2690860318822743,977721.9105651155,1252650.525342136,1226338.5471804938,1875927.0169122554,0.1833467620650634,0.23490259892798573,0.22996845973428046,0.3517821792726706
2,Social Science,2985947.0,0.15067151185600472,416874.8626941871,469480.33080402075,764266.8989127615,1335324.9075890305,0.13961227801236495,0.15722996114935087,0.2559546096808689,0.4472031511574152
3,Natural Science,3564218.9999999995,0.17985123825570154,845279.1223251947,600872.4559561575,840383.6857811536,1277683.7359374939,0.23715689813818813,0.16858460604024544,0.23578340325921435,0.3584750925623521
4,Engineering,3480465.0000000005,0.17562499385016198,1051564.0201951654,476362.44571951433,590501.7239189503,1362036.810166371,0.30213319777534475,0.13686747193823648,0.1696617331071998,0.3913375971792191
