code,cluster,total_citations,corpus_share,cn_cits,us_cits,eu27_cits,row_cits,cn_share,us_share,eu27_share,row_share
000,Image Generation & Segmentation,586361.9999999998,0.02958794949639448,257160.21509790389,115655.01094141374,73522.83689261624,140023.93706806592,0.4385690326076792,0.19724165437291943,0.125388133768246,0.23880117925115538
001,Face & Fingerprint Recognition,141908.99999999997,0.007160757902258068,43574.456841390536,16032.033004949424,17955.90423010898,64346.60592355103,0.30705914946473123,0.11297403973637632,0.12653111663184846,0.453435694167044
002,Multimodal Vision & Transformer,434372.99999999994,0.0219185526800805,197834.38397020116,93208.16638958023,36735.30146540817,106595.1481748104,0.4554481608437937,0.2145809393990424,0.08457086758479043,0.24540003217237355
003,Object Detection & Classification,430086.0000000002,0.021702229760977566,211050.34018216457,42194.72975609474,53325.43353841292,123515.49652332795,0.49071660128942696,0.09810765697115163,0.12398783856813032,0.2871879031712911
004,Mapping & Geospatial Analysis,342234.0000000004,0.017269199415973553,139069.9133099953,49027.35866402157,65132.70532043835,89004.02270554518,0.4063591382212028,0.14325683206233605,0.1903162903757028,0.26006773934075833
010,Text to Text Transformer,246892.0000000001,0.012458222100108518,48444.92389544358,79161.530084207,43260.25805114546,76025.28796920404,0.19621909132512824,0.3206322200970747,0.17521935927914004,0.30792932929865696
011,Knowledge Graphs & Reasoning,224605.00000000012,0.011333615405905717,60582.09766074264,63308.85886270398,41378.45514544503,59335.588331108476,0.26972728862110196,0.28186754018256027,0.18422766699514706,0.26417750420119074
020,Music & Acoustic Modeling,35270.0,0.001779731597098437,7436.358889672422,7491.451995799973,8093.857709185155,12248.331405342451,0.21084090982910186,0.21240294856251696,0.22948278166104777,0.34727335994733344
021,Emotion & Cognition in Audio,106110.00000000003,0.005354332854213643,29734.199936182806,12761.976021105076,15735.662389780564,47878.16165293158,0.2802205252679559,0.12027119047314176,0.14829575336707718,0.45121253089182517
022,Speech Recognition,140866.0000000001,0.00710812790351201,25008.760068412856,37536.113428555036,28658.204763035057,49662.92173999714,0.17753581466367213,0.2664668083750161,0.20344302218445218,0.35255435477685965
030,Signal Processing & Sensing,201395.00000000003,0.01016243393812418,51180.52490805854,26429.63253890241,35839.60324229598,87945.2393107431,0.25413006732073057,0.13123281381813057,0.17795676775637914,0.4366803511047597
031,Human - Computer Interaction,363393.99999999994,0.018336937453813137,85469.88765674281,46904.205515571346,74751.36196431959,156268.5448633662,0.23519895115698888,0.12907259205042282,0.20570334668244275,0.43002511011014555
040,Supervised Learning,277724.0000000002,0.014014011286435119,105807.19944872281,60704.04582881594,32099.9796079115,79112.77511454994,0.38097967568061364,0.21857688146798945,0.11558230332240454,0.2848611395289924
041,Neural Network Architectures,218339.99999999997,0.011017482191961234,51996.4579208424,65233.82665147948,32394.04184435783,68715.67358332025,0.23814444408190164,0.2987717626247114,0.14836512706951469,0.31471866622387223
042,SVM & Decision Tree,218948.99999999997,0.011048212459685444,42207.92987338099,17606.886328968816,31061.879009055738,128072.30478859443,0.1927751662413667,0.08041546811800382,0.14186810174540984,0.5849412638952196
